Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-07-09,ASV,702,NRT,ICN,1,42,1,34,false,,2024-07-09T13:10,2024-07-09T14:05,2024-07-09T13:20,2024-07-09T14:20,2024-07-09T15:40,2024-07-09T16:29,2024-07-09T15:50,2024-07-09T16:33,Airbus A321,HL7212,,,,,,,a76be2a7-f6d8-462d-83ca-5d1a2bd2346b,68997e99-bf4d-4a7f-8ae9-fe9350399454,42cbe764-fc30-49b0-9e72-eca5f6c21767,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-08-24,KAL,23,ICN,SFO,2,268,INTL,A10,false,,2024-08-24T16:00,2024-08-24T16:37,2024-08-24T16:10,2024-08-24T17:02,2024-08-24T09:02,2024-08-24T10:54,2024-08-24T11:00,2024-08-24T11:07,Boeing 777-300 ER,HL7202,,,,,,,ba49cae8-7187-46b4-8eca-0a92d1223550,4bcd41e4-4c1d-4f70-8e68-51edb812ab3c,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-08-24,AAL,1910,SFO,ORD,1,B27,3,H16,false,,2024-08-24T23:59,2024-08-25T00:04,2024-08-25T00:09,2024-08-25T00:18,2024-08-25T05:48,2024-08-25T06:02,2024-08-25T06:14,2024-08-25T06:07,Boeing 737-800,N959NN,,,,,,,0755bae9-7447-42e2-a6d2-6cf7fd845bc1,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,a5eff314-18e7-4c87-bd38-0131882f1b8d,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2024-08-25,AAL,3384,ORD,PIT,3,L9,Main,B26,false,,2024-08-25T09:59,2024-08-25T09:56,2024-08-25T10:09,2024-08-25T10:14,2024-08-25T12:11,2024-08-25T12:15,2024-08-25T12:35,2024-08-25T12:26,Embraer 170,N770JM,,,,,,,3ee0a8b8-e847-4e5f-b6d7-e98fdbe28ac1,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a5eff314-18e7-4c87-bd38-0131882f1b8d,55394d7e-5085-44dc-8919-ae570e6305b3,,2acf1934-38ee-4709-8efa-7018f9be5222
2024-09-10,DAL,5715,LGA,PIT,C,69,Main,D78,false,,2024-09-10T13:45,2024-09-10T13:33,2024-09-10T13:55,2024-09-10T13:54,2024-09-10T14:45,2024-09-10T14:49,2024-09-10T15:20,2024-09-10T14:53,Embraer 170,N818MD,,,,,,,ec7158db-9fd6-4101-9baa-59e2526a5009,a8765091-d043-44b1-936c-d217bb519e56,dfeb8457-3376-49f8-b542-dbeb2ec9f719,55394d7e-5085-44dc-8919-ae570e6305b3,,2acf1934-38ee-4709-8efa-7018f9be5222
2024-09-21,UAL,1803,PIT,ORD,Main,A6,1,B11,false,,2024-09-21T07:00,2024-09-21T06:51,2024-09-21T07:10,2024-09-21T07:01,2024-09-21T07:28,2024-09-21T07:11,2024-09-21T07:42,2024-09-21T07:35,Boeing 737-800,N76526,,,,,,,7783a0d7-ade2-4796-907c-c88dae506005,b57b4c86-4724-48f1-80be-d7de4036004a,55394d7e-5085-44dc-8919-ae570e6305b3,a5eff314-18e7-4c87-bd38-0131882f1b8d,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2024-09-21,KAL,38,ORD,ICN,5,M14,2,233,false,,2024-09-21T12:20,2024-09-21T12:10,2024-09-21T12:30,2024-09-21T12:30,2024-09-22T16:39,2024-09-22T16:33,2024-09-22T16:50,2024-09-22T16:45,Boeing 777-300 ER,HL8008,,,,,,,73cfe986-bb45-4206-a651-345462514028,4bcd41e4-4c1d-4f70-8e68-51edb812ab3c,a5eff314-18e7-4c87-bd38-0131882f1b8d,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-09-25,APZ,111,ICN,SFO,1,19,I,A8,false,,2024-09-25T17:30,2024-09-25T17:58,2024-09-25T17:40,2024-09-25T18:21,2024-09-25T10:58,2024-09-25T11:45,2024-09-25T12:30,2024-09-25T11:55,Boeing 787-9,HL8389,,,,,,,29d4b72c-d86a-4e73-a954-5bd0b05a7518,738ecc6c-3282-4e23-96be-14a0d645442b,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-09-29,DAL,640,SFO,ATL,2,C8,S,B6,false,,2024-09-29T07:10,2024-09-29T07:08,2024-09-29T07:20,2024-09-29T07:25,2024-09-29T14:26,2024-09-29T14:31,2024-09-29T14:47,2024-09-29T14:35,Boeing 737-900ER,N900DU,,,,,,,d8c2977c-f599-4384-ba31-b9cc2e2e28fa,a8765091-d043-44b1-936c-d217bb519e56,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,6f0c1d11-cfef-4b33-b462-90379270f593,,24012541-435d-4a27-af8a-4791336f1965
2024-09-29,DAL,1568,ATL,PIT,S,A24,Main,D78,false,,2024-09-29T15:43,2024-09-29T15:33,2024-09-29T15:53,2024-09-29T15:50,2024-09-29T17:03,2024-09-29T16:59,2024-09-29T17:20,2024-09-29T17:02,Boeing 737-900ER,N960DZ,,,,,,,e76411fb-19ce-41a2-b06b-bf23ff0932c3,a8765091-d043-44b1-936c-d217bb519e56,6f0c1d11-cfef-4b33-b462-90379270f593,55394d7e-5085-44dc-8919-ae570e6305b3,,24012541-435d-4a27-af8a-4791336f1965
